"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","HHDI","NET","AGRWTH","A","2003",8.64982135964357,
"NZL","HHDI","NET","AGRWTH","A","2004",4.87565553535089,
"NZL","HHDI","NET","AGRWTH","A","2005",3.27560224260922,
"NZL","HHDI","NET","AGRWTH","A","2006",4.59393443889172,
"NZL","HHDI","NET","AGRWTH","A","2007",6.27088951371162,
"NZL","HHDI","NET","AGRWTH","A","2008",-1.54901566691334,
"NZL","HHDI","NET","AGRWTH","A","2009",3.20156710054354,
"NZL","HHDI","NET","AGRWTH","A","2010",2.48447018362954,
"NZL","HHDI","NET","AGRWTH","A","2011",3.33761046675085,
"NZL","HHDI","NET","AGRWTH","A","2012",2.44574189858414,
"NZL","HHDI","NET","AGRWTH","A","2013",1.80548614791498,
"NOR","HHDI","NET","AGRWTH","A","1979",0.813272817114838,
"NOR","HHDI","NET","AGRWTH","A","1980",3.36047765338719,
